"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tre'Quan Smith","NO","2.3","33.9","0.2","0.0","0.0","0.0","0.0","4.3"
"Keke Coutee","HOU","2.8","34.4","0.1","0.4","1.7","0.0","0.0","4.2"
"Robert Foster","BUF","1.8","36.0","0.1","0.1","0.5","0.0","0.0","4.2"
"Chris Conley","JAC","2.6","30.0","0.2","0.0","0.0","0.0","0.0","4.1"
"Danny Amendola","DET","3.5","34.1","0.1","0.0","0.1","0.0","0.0","4.0"
"Trey Quinn","WAS","3.0","32.6","0.1","0.0","0.1","0.0","0.0","4.0"
"DaeSean Hamilton","DEN","2.4","30.0","0.1","0.0","0.2","0.0","0.0","3.8"
"Nelson Agholor","PHI","2.4","27.9","0.1","0.2","1.4","0.0","0.0","3.7"
"Michael Crabtree","ARI","2.3","28.9","0.1","0.1","0.5","0.0","0.0","3.7"
"Rashard Higgins","CLE","2.1","28.4","0.1","0.0","0.0","0.0","0.0","3.6"
"Miles Boykin","BAL","2.3","29.7","0.1","0.0","0.0","0.0","0.0","3.6"
"D.J. Chark","JAC","2.4","28.8","0.1","0.0","0.0","0.0","0.0","3.6"
"Cody Latimer","NYG","2.5","30.1","0.1","0.0","0.0","0.0","0.0","3.5"
"Deebo Samuel","SF","2.4","25.2","0.2","0.0","0.0","0.0","0.0","3.4"
"Devin Funchess","IND","2.5","27.9","0.1","0.0","0.0","0.0","0.0","3.4"
"Marqise Lee","JAC","2.0","24.4","0.1","0.3","2.0","0.0","0.0","3.4"
"D.K. Metcalf","SEA","2.0","28.4","0.1","0.0","0.0","0.0","0.0","3.4"
"Jakeem Grant","MIA","1.8","26.5","0.1","0.5","2.6","0.0","0.0","3.3"
"Phillip Dorsett","NE","2.2","24.5","0.1","0.2","1.0","0.0","0.0","3.3"
"Jaron Brown","SEA","1.6","19.1","0.2","0.1","0.5","0.0","0.0","3.2"
"Hunter Renfrow","OAK","2.3","26.1","0.1","0.0","0.0","0.0","0.0","3.1"
"Kenny Stills","HOU","1.7","22.2","0.1","0.0","0.0","0.0","0.0","3.0"
"Travis Benjamin","LAC","1.9","23.6","0.1","0.3","1.8","0.0","0.0","3.0"
"Terry McLaurin","WAS","1.8","23.7","0.1","0.2","1.0","0.0","0.0","2.9"
"Andy Isabella","ARI","1.4","19.7","0.1","0.2","1.1","0.0","0.0","2.7"
"Tim Patrick","DEN","1.4","19.2","0.1","0.0","0.2","0.0","0.0","2.7"
"Damion Willis","CIN","1.6","19.8","0.1","0.0","0.0","0.0","0.0","2.6"
