playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
2558019,Alvin Kamara,NO,RB,23,2,9,22.9282908065693,19.9164436159963,25.7561124381298,3.6145326460771,1,0.196017039294258,1,5.83966882213356,NA,2.6,1.2,2.21327700490465,NA,NA
2557997,Christian McCaffrey,CAR,RB,23,2,7,22.8053545591781,20.84,24.2920590685859,1.27927002154633,2,2.15313767766342,1,3.4520590685859,NA,2.5,1.1,2.14408072285939,NA,NA
2560968,Saquon Barkley,NYG,RB,22,1,11,22.6591929753719,20.2758436213992,23.9913706958676,1.43517431895513,3,4.29456245417771,1,3.71552707446842,NA,1.9,1.3,2.28247328694991,NA,NA
2558125,Patrick Mahomes,KC,QB,NA,2,12,20.9569564439979,18.8396683225554,22.9814585586615,2.48298157902982,1,1.24972084848731,1,4.14179023610616,NA,2.6,1.7,7.58263667147212,NA,NA
2540165,DeAndre Hopkins,HOU,WR,27,6,10,20.8711369854208,18.3125977318212,23.510611964636,2.28169435709734,1,0.665925755236245,1,5.19801423281474,NA,1.3,0.8,2.36545130578732,NA,NA
2558063,Deshaun Watson,HOU,QB,24,2,10,20.2771918176708,17.4577914951989,21.9758751363599,1.92451013399286,2,1.16627092880998,1,4.51808364116095,NA,1.3,0.6,5.18594627431301,NA,NA
2558149,JuJu Smith-Schuster,PIT,WR,23,2,7,20.2594813875277,18.2284969979987,22.0930143382621,1.82565367535897,2,0.263519738096679,1,3.86451734026343,NA,6,1.8,2.73253251718346,NA,NA
2543495,Davante Adams,GB,WR,27,5,11,20.1509410728413,18.0009023587493,22.5203560920473,2.32982361279788,3,0.586065615363143,1,4.51945373329797,NA,4.5,2.1,2.8426568806023,NA,NA
2556370,Michael Thomas,NO,WR,25,3,9,19.8409822260208,17.4214437739989,22.215160333436,2.16972403513457,4,0.721112567607086,1,4.79371655943709,NA,4,1.4,2.585700032625,NA,NA
2495454,Julio Jones,ATL,WR,30,8,9,19.2887686889355,15.6647520570488,22.6691582922589,3.36094503118828,5,0.363965296702709,1,7.00440623521003,NA,6.6,2.1,2.8426568806023,NA,NA
2504775,Drew Brees,NO,QB,40,18,9,19.1372793733503,16.6520010278722,20.4756731751642,2.24342004389902,3,0.198651464285952,1,3.82367214729202,NA,4.9,2.3,7.99879074496515,NA,NA
2532975,Russell Wilson,SEA,QB,31,7,11,19.0845624043712,17.855,19.5819928417269,0.794583264618794,4,0.364267287603063,2,1.72699284172691,NA,7.7,3.3,6.97365026701561,NA,NA
2543468,Mike Evans,TB,WR,26,5,7,18.950970627892,15.811263302249,21.6141286052056,2.54309745883938,6,0.44443610174195,1,5.80286530295653,NA,4.7,1.8,2.73253251718346,NA,NA
2543496,Odell Beckham,CLE,WR,27,5,7,18.8986361565735,15.4784969829951,22.3700005260569,3.54680731452278,7,0.805941966367744,1,6.89150354306181,NA,3.4,2,2.80594875946269,NA,NA
2560757,Lamar Jackson,BAL,QB,22,1,8,18.7926934137575,17.7800791760577,19.4437874966132,0.688821309169443,5,0.259623924251006,2,1.66370832055556,NA,8.1,2.9,6.26149155390479,NA,NA
2555260,Dak Prescott,DAL,QB,26,3,8,18.6478968197789,16.7324069028156,20.3388817941953,1.52247326245353,6,0.254995734582906,2,3.60647489137963,NA,11.2,2.8,7.49190547520818,NA,NA
2557991,Dalvin Cook,MIN,RB,24,2,12,18.6452407876575,16.4487654320988,19.904345871814,1.78915866801138,4,0.581923642906446,2,3.45558043971525,NA,5.3,1.9,2.69765097922145,NA,NA
2506363,Aaron Rodgers,GB,QB,36,14,11,18.4182421592342,15.716817558299,20.1785708941453,1.86584153199439,7,0.109157899976363,2,4.46175333584621,NA,9.9,3.1,8.45841718303132,NA,NA
2555259,Carson Wentz,PHI,QB,27,3,10,18.3675600111577,16.6356120305895,19.2253836565329,1.41739067697132,8,0.124994272786658,2,2.58977162594346,NA,5.4,2.1,6.37663395484253,NA,NA
2552033,Jameis Winston,TB,QB,25,4,7,18.2506085073578,15.1795842911233,19.3270961702128,1.42046330316737,9,0.137104972532661,2,4.14751187908947,NA,4.8,2.7,7.19011620046703,NA,NA
2495455,Cam Newton,CAR,QB,30,8,7,18.2345229693843,14.5359746470661,19.5117066093543,1.73695121598102,10,0.365416240141958,2,4.97573196228823,NA,9.3,3.1,8.24735146422656,NA,NA
2540154,Keenan Allen,LAC,WR,27,6,12,18.1144328957265,14.6169445968184,20.9870419132096,2.46637635753953,8,0.204587590190787,2,6.37009731639116,NA,10.7,2.2,2.87936500174192,NA,NA
2555224,Ezekiel Elliott,DAL,RB,24,3,8,18.0840202547308,14.84,19.7744867478995,2.08087978963588,5,0.045198776423923,2,4.93448674789945,NA,17.2,16.5,12.800308157829,NA,NA
2556214,Tyreek Hill,KC,WR,25,3,12,18.0709554846851,16.0210440936457,20.3873973863697,2.00848602164335,9,0.469633597076932,2,4.36635329272406,NA,6.9,2.1,2.8426568806023,NA,NA
2553435,David Johnson,ARI,RB,28,4,12,18.0426140347713,15.826817558299,19.993310449036,2.0164169140066,6,0.0981445196877,2,4.166492890737,NA,7.9,2.1,2.83604354331196,NA,NA
2557973,Leonard Fournette,JAC,RB,23,2,10,18.0350289218426,15.87,19.8149615354593,2.16562919155286,7,0.190899777018707,2,3.94496153545926,NA,9.4,2.5,3.11282867149299,NA,NA
