Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Ty Johnson,DET,1.2,5.5,0,0.8,8,0,0,2.2
Troymaine Pope,LAC,1.7,5.9,0.1,0.6,4.1,0,0,2.1
Paul Perkins,NYG,2.5,9.4,0,0.6,3.2,0,0,2
Reggie Bonnafon,CAR,2.2,10,0,0.6,4,0,0,2
Andy Janovich,DEN,0.3,1,0,0.6,7,0.1,0,2
Brian Hill,ATL,1.2,6.1,0,0.7,4.2,0,0,1.9
Dare Ogunbowale,TB,2.1,8,0,0.6,3.1,0,0,1.9
Jordan Scarlett,CAR,1.5,7.5,0,0.7,4,0,0,1.9
Myles Gaskin,MIA,1.3,5.4,0,0.6,4.6,0,0,1.8
Wendell Smallwood,WAS,1.5,5.8,0,0.6,5,0,0,1.8
Jordan Wilkins,IND,1.5,6.9,0,0.5,3.4,0,0,1.7
Bilal Powell,NYJ,1.7,7.5,0.1,0.3,2.4,0,0,1.6
C.J. Prosise,SEA,1.1,4.5,0,0.5,5.7,0,0,1.6
Travis Homer,SEA,2.4,11,0,0.3,2,0,0,1.6
J.D. McKissic,DET,0.8,3.1,0,0.6,4.3,0,0,1.6
D'Ernest Johnson,CLE,0.9,4,0,0.6,5,0,0,1.5
Tyler Ervin,JAC,0.7,2.8,0,0.6,4,0,0,1.5
Mark Walton,MIA,1.1,4.1,0,0.5,4,0,0,1.4
Devine Ozigbo,JAC,1.6,7,0,0.4,3,0,0,1.4
Raheem Mostert,SF,1.7,7.9,0,0.3,1.8,0,0,1.4
Benny Snell Jr.,PIT,1.2,5.7,0,0.4,2.6,0,0,1.4
Josh Adams,NYJ,1.4,6.3,0,0.2,1.7,0,0,1.3
Mike Boone,MIN,1.6,6.7,0,0.2,1.5,0,0,1.3
Taiwan Jones,HOU,1.8,5.6,0,0.3,2,0,0,1.2
Dexter Williams,GB,1.1,4.3,0,0.4,2.6,0,0,1.2
Trayveon Williams,CIN,0.7,3,0,0.5,4,0,0,1.2
Alfred Morris,DAL,0.6,2.4,0,0.4,3.1,0,0,1.2
Alex Armah,CAR,1.1,4.6,0,0.2,1.6,0,0,1
Ameer Abdullah,MIN,0.7,2.6,0,0.4,2.6,0,0,1
David Fluellen,TEN,1.5,6.6,0.1,0,0.3,0,0,1
Kerrith Whyte,CHI,1.1,5,0,0.3,2,0,0,1
Samaje Perine,CIN,0.6,2.6,0,0.4,2.9,0,0,1
T.J. Logan,TB,0.7,2.7,0,0.4,2.4,0,0,0.9
Trenton Cannon,NYJ,0.7,2.9,0,0.3,2.1,0,0,0.9
Darrel Williams,KC,0.7,2.9,0,0.3,2,0,0,0.9
Jonathan Williams,IND,1.1,4.2,0,0.2,1.6,0,0,0.9
Chandler Cox,MIA,0.4,2,0,0.4,3,0,0,0.9
D.J. Foster,ARI,0.3,1.3,0,0.4,2.6,0,0,0.8
Elijhaa Penny,NYG,0.5,2,0,0.3,2.1,0,0,0.8
Tremon Smith,KC,0.4,1.8,0,0.2,2,0,0,0.8
Patrick Laird,MIA,0.4,2,0,0.3,3,0,0,0.8
Patrick DiMarco,BUF,0.3,1.4,0,0.3,2.8,0,0,0.8
