Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Wayne Gallman Jr. (13041165),Wayne Gallman Jr.,13041165,RB/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,NYG,3.04199065254265
WR,Allen Hurns (13040779),Allen Hurns,13040779,WR/FLEX,3700,BAL@MIA 09/08/2019 01:00PM ET,MIA,3.00997294994469
WR,John Ursua (13041738),John Ursua,13041738,WR/FLEX,3000,CIN@SEA 09/08/2019 04:05PM ET,SEA,2.97707474046016
TE,Demetrius Harris (13040900),Demetrius Harris,13040900,TE/FLEX,2500,TEN@CLE 09/08/2019 01:00PM ET,CLE,2.88049087092543
WR,Tavon Austin (13040768),Tavon Austin,13040768,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,2.80709487833632
WR,Tavon Austin (13040768),Tavon Austin,13040768,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,2.80709487833632
WR,Gary Jennings (13041634),Gary Jennings,13041634,WR/FLEX,3000,CIN@SEA 09/08/2019 04:05PM ET,SEA,2.7315027308293
RB,Bilal Powell (13040664),Bilal Powell,13040664,RB/FLEX,3300,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,2.72056907509398
TE,Virgil Green (13040627),Virgil Green,13040627,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,2.67458905968458
WR,Malik Turner (13041410),Malik Turner,13041410,WR/FLEX,3000,CIN@SEA 09/08/2019 04:05PM ET,SEA,2.6259733079123
