Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Chargers  (13040582),Chargers ,13040582,DST,3000,IND@LAC 09/08/2019 04:05PM ET,LAC,10.3626428571429
WR,DeSean Jackson (13040622),DeSean Jackson,13040622,WR/FLEX,4500,WAS@PHI 09/08/2019 01:00PM ET,PHI,10.2297236317335
DST,Eagles  (13040580),Eagles ,13040580,DST,3600,WAS@PHI 09/08/2019 01:00PM ET,PHI,9.99803028571429
DST,Cowboys  (13040570),Cowboys ,13040570,DST,3500,NYG@DAL 09/08/2019 04:25PM ET,DAL,9.97592228571429
RB,Kenyan Drake (13041056),Kenyan Drake,13041056,RB/FLEX,4700,BAL@MIA 09/08/2019 01:00PM ET,MIA,9.95052945500081
TE,Delanie Walker (13040604),Delanie Walker,13040604,TE/FLEX,3500,TEN@CLE 09/08/2019 01:00PM ET,TEN,9.9442658517787
WR,John Brown (13040724),John Brown,13040724,WR/FLEX,4300,BUF@NYJ 09/08/2019 01:00PM ET,BUF,9.88782399369476
RB,Miles Sanders (13041805),Miles Sanders,13041805,RB/FLEX,3900,WAS@PHI 09/08/2019 01:00PM ET,PHI,9.79237037243997
WR,Marquise Goodwin (13040750),Marquise Goodwin,13040750,WR/FLEX,4000,SF@TB 09/08/2019 04:25PM ET,SF,9.67097605407222
TE,Mark Andrews (13041329),Mark Andrews,13041329,TE/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,BAL,9.49056463802849
WR,Mohamed Sanu (13040730),Mohamed Sanu,13040730,WR/FLEX,4600,ATL@MIN 09/08/2019 01:00PM ET,ATL,9.47941511888824
WR,Albert Wilson (13040823),Albert Wilson,13040823,WR/FLEX,3900,BAL@MIA 09/08/2019 01:00PM ET,MIA,9.47701887580415
RB,Peyton Barber (13041214),Peyton Barber,13041214,RB/FLEX,4000,SF@TB 09/08/2019 04:25PM ET,TB,9.36868473085583
RB,Dion Lewis (13040733),Dion Lewis,13040733,RB/FLEX,4700,TEN@CLE 09/08/2019 01:00PM ET,TEN,9.30044561906064
TE,Eric Ebron (13040925),Eric Ebron,13040925,TE/FLEX,4100,IND@LAC 09/08/2019 04:05PM ET,IND,9.23460157634835
WR,DeVante Parker (13040898),DeVante Parker,13040898,WR/FLEX,3900,BAL@MIA 09/08/2019 01:00PM ET,MIA,9.19542654067251
RB,Justin Jackson (13041418),Justin Jackson,13041418,RB/FLEX,4000,IND@LAC 09/08/2019 04:05PM ET,LAC,9.04627019240698
WR,Jamison Crowder (13040888),Jamison Crowder,13040888,WR/FLEX,4100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,8.97077750703112
WR,Paul Richardson Jr. (13040838),Paul Richardson Jr.,13040838,WR/FLEX,3900,WAS@PHI 09/08/2019 01:00PM ET,WAS,8.87327979235012
TE,Jordan Reed (13040754),Jordan Reed,13040754,TE/FLEX,3600,WAS@PHI 09/08/2019 01:00PM ET,WAS,8.86237092580208
RB,Devin Singletary (13041783),Devin Singletary,13041783,RB/FLEX,3600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,8.83697265465164
WR,Willie Snead IV (13040860),Willie Snead IV,13040860,WR/FLEX,4000,BAL@MIA 09/08/2019 01:00PM ET,BAL,8.52246582584147
RB,Rashaad Penny (13041554),Rashaad Penny,13041554,RB/FLEX,4900,CIN@SEA 09/08/2019 04:05PM ET,SEA,8.452744476999
WR,Zay Jones (13041234),Zay Jones,13041234,WR/FLEX,3700,BUF@NYJ 09/08/2019 01:00PM ET,BUF,8.43978235283079
TE,Austin Hooper (13041175),Austin Hooper,13041175,TE/FLEX,3200,ATL@MIN 09/08/2019 01:00PM ET,ATL,8.38504818105915
TE,Greg Olsen (13040606),Greg Olsen,13040606,TE/FLEX,3200,LAR@CAR 09/08/2019 01:00PM ET,CAR,8.04302072751218
WR,Danny Amendola (13040613),Danny Amendola,13040613,WR/FLEX,3600,DET@ARI 09/08/2019 04:25PM ET,DET,8.02043299295634
TE,Kyle Rudolph (13040720),Kyle Rudolph,13040720,TE/FLEX,3300,ATL@MIN 09/08/2019 01:00PM ET,MIN,8.01717951358561
WR,Adam Humphries (13040892),Adam Humphries,13040892,WR/FLEX,4000,TEN@CLE 09/08/2019 01:00PM ET,TEN,8.01097662759996
WR,Trey Quinn (13041358),Trey Quinn,13041358,WR/FLEX,3400,WAS@PHI 09/08/2019 01:00PM ET,WAS,7.97559936861265
TE,Will Dissly (13041523),Will Dissly,13041523,TE/FLEX,2900,CIN@SEA 09/08/2019 04:05PM ET,SEA,7.8767585332706
WR,Cole Beasley (13040693),Cole Beasley,13040693,WR/FLEX,3600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,7.87618230745216
WR,Quincy Enunwa (13040777),Quincy Enunwa,13040777,WR/FLEX,3800,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,7.84503482989486
WR,Nelson Agholor (13041017),Nelson Agholor,13041017,WR/FLEX,3900,WAS@PHI 09/08/2019 01:00PM ET,PHI,7.84029396310683
RB,Nyheim Hines (13041671),Nyheim Hines,13041671,RB/FLEX,3900,IND@LAC 09/08/2019 04:05PM ET,IND,7.80710002313101
TE,Jack Doyle (13040726),Jack Doyle,13040726,TE/FLEX,3400,IND@LAC 09/08/2019 04:05PM ET,IND,7.80668956989272
WR,Devin Funchess (13041081),Devin Funchess,13041081,WR/FLEX,4000,IND@LAC 09/08/2019 04:05PM ET,IND,7.77575227635245
WR,DK Metcalf (13041822),DK Metcalf,13041822,WR/FLEX,4000,CIN@SEA 09/08/2019 04:05PM ET,SEA,7.63827835157775
TE,Tyler Eifert (13040756),Tyler Eifert,13040756,TE/FLEX,3100,CIN@SEA 09/08/2019 04:05PM ET,CIN,7.6368585767006
WR,John Ross III (13041250),John Ross III,13041250,WR/FLEX,3900,CIN@SEA 09/08/2019 04:05PM ET,CIN,7.60285441066622
RB,Chris Thompson (13040758),Chris Thompson,13040758,RB/FLEX,3500,WAS@PHI 09/08/2019 01:00PM ET,WAS,7.48281829972444
DST,Chiefs  (13040574),Chiefs ,13040574,DST,2800,KC@JAX 09/08/2019 01:00PM ET,KC,7.443144
RB,LeSean McCoy (13040648),LeSean McCoy,13040648,RB/FLEX,4600,KC@JAX 09/08/2019 01:00PM ET,KC,7.32021402063793
WR,Breshad Perriman (13040997),Breshad Perriman,13040997,WR/FLEX,3300,SF@TB 09/08/2019 04:25PM ET,TB,7.30993059389709
RB,Kalen Ballage (13041327),Kalen Ballage,13041327,RB/FLEX,4500,BAL@MIA 09/08/2019 01:00PM ET,MIA,7.24010891961747
WR,Miles Boykin (13041724),Miles Boykin,13041724,WR/FLEX,3000,BAL@MIA 09/08/2019 01:00PM ET,BAL,7.2186988724745
RB,Frank Gore (13040590),Frank Gore,13040590,RB/FLEX,3800,BUF@NYJ 09/08/2019 01:00PM ET,BUF,7.19845063108327
TE,Jason Witten (13040595),Jason Witten,13040595,TE/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,DAL,7.078847726549
WR,Randall Cobb (13040715),Randall Cobb,13040715,WR/FLEX,4200,NYG@DAL 09/08/2019 04:25PM ET,DAL,7.03957809124786
WR,Rashard Higgins (13041191),Rashard Higgins,13041191,WR/FLEX,3200,TEN@CLE 09/08/2019 01:00PM ET,CLE,7.03362039606997
RB,C.J. Anderson (13040946),C.J. Anderson,13040946,RB/FLEX,3900,DET@ARI 09/08/2019 04:25PM ET,DET,6.96016684418658
RB,Giovani Bernard (13040789),Giovani Bernard,13040789,RB/FLEX,4100,CIN@SEA 09/08/2019 04:05PM ET,CIN,6.74625110373085
RB,Darrell Henderson Jr. (13041777),Darrell Henderson Jr.,13041777,RB/FLEX,4800,LAR@CAR 09/08/2019 01:00PM ET,LAR,6.71798141445963
RB,Ito Smith (13041459),Ito Smith,13041459,RB/FLEX,4000,ATL@MIN 09/08/2019 01:00PM ET,ATL,6.65858409904816
